"D2015","D2015 - Nominal","K2015 ","D2020","D2020 - Nominal","T2020","BIEDRON","BOSAK","DUDA","HOŁOWNIA","JAKUBIAK","KOS-KAM","PIOTROWSKI","TANAJNO","TRZASK","WITK","ŻÓŁTEK","KO","KONF","PSL","PIS","SLD","NP","NoLegVot - T1 2020","NoLegVot - T2 2020","NoVoters - T1 2020","NoVoters - T2 2020","VotFreq T1 2020","VotFreq T2 2020"
43.9,"T",56.1,58.91,"D",41.09,1.64,4.51,51.66,16.16,0.11,3.64,0.25,0.25,21.26,0.25,0.25,16.6,4.61,10.98,43.79,8.87,,2766,2945,5827,5792,47.14,50.85
59.85,"D",40.15,64.92,"D",35.08,1.43,9.04,54.35,11.79,0.17,3.49,0.11,0.14,19.28,0.05,0.17,15.98,6.79,17.57,52.99,5.5,1.91,16673,17024,26672,26505,62.35,64.23
49.17,"T",50.83,59.99,"D",40.01,1.82,7.49,51.55,15.03,0.0,2.75,0.09,0.09,20.83,0.13,0.22,23.07,8.34,9.6,49.68,8.29,1.02,2263,2367,4050,4025,55.7,58.81
68.11,"D",31.89,66.52,"D",33.48,1.69,4.68,61.27,9.94,0.12,3.14,0.07,0.24,18.66,0.07,0.12,14.33,4.79,11.6,60.34,7.73,1.21,5882,6670,9867,10395,59.35,64.17
45.09,"T",54.91,51.01,"D",48.99,2.03,10.15,40.57,15.59,0.2,2.77,0.06,0.09,28.14,0.19,0.21,24.1,11.92,9.0,39.59,15.38,,13987,14165,21780,21563,64.07,65.69
65.56,"D",34.44,77.94,"D",22.06,1.17,6.36,68.5,8.39,0.16,4.22,0.12,0.12,10.58,0.12,0.27,8.34,6.97,9.21,66.82,7.61,1.05,2571,2847,4360,4330,58.76,65.75
77.41,"D",22.59,80.39,"D",19.61,0.75,6.45,69.49,6.83,0.44,6.58,0.0,0.0,9.21,0.06,0.19,4.04,6.17,18.64,65.87,4.18,0.48,1602,1754,2357,2352,67.71,74.57
74.89,"D",25.11,77.96,"D",22.04,1.23,6.52,70.47,6.15,0.09,4.71,0.09,0.12,10.43,0.03,0.15,5.19,3.62,25.22,62.18,3.17,0.61,3265,3570,5705,5693,56.99,62.71
41.08,"T",58.92,46.74,"T",53.26,2.74,6.9,40.27,15.63,0.23,2.33,0.0,0.0,31.58,0.09,0.23,26.67,7.2,10.32,42.82,12.98,,2205,2334,4050,4043,54.02,57.73
74.41,"D",25.59,76.71,"D",23.29,2.21,5.84,67.86,8.3,0.17,3.03,0.09,0.04,12.2,0.09,0.17,6.39,3.65,7.02,67.69,13.51,0.48,2325,2508,3813,3811,60.63,65.81
72.99,"D",27.01,79.18,"D",20.82,1.2,4.99,70.79,9.77,0.13,2.89,0.08,0.08,9.85,0.08,0.15,6.24,4.62,13.76,69.86,4.49,0.94,3928,4370,6752,6794,57.91,64.32
70.61,"D",29.39,73.19,"D",26.81,1.2,7.64,63.24,9.31,0.08,3.32,0.12,0.08,14.71,0.12,0.19,8.87,5.26,14.98,62.06,7.62,1.2,2604,2850,4676,4675,55.39,60.96
47.87,"T",52.13,51.65,"D",48.35,2.24,5.63,45.41,14.54,0.1,2.55,0.07,0.11,29.11,0.1,0.14,26.72,5.74,7.3,44.18,11.84,4.22,8330,8745,15149,14871,54.84,58.81
53.33,"D",46.67,52.6,"D",47.4,2.12,7.43,43.61,14.16,0.2,2.48,0.1,0.08,29.43,0.16,0.23,23.21,7.49,9.75,43.89,13.65,2.0,14192,14600,20855,20062,67.78,72.77
73.96,"D",26.04,81.02,"D",18.98,0.97,6.2,71.06,7.08,0.37,2.55,0.28,0.14,10.93,0.14,0.28,7.46,4.22,9.0,73.68,4.58,1.08,2166,2302,3550,3538,60.85,65.07
78.58,"D",21.42,75.28,"D",24.72,1.27,8.77,64.93,9.46,0.15,2.12,0.13,0.07,12.86,0.07,0.17,11.3,7.44,6.79,65.75,6.37,0.93,7524,8075,11286,11203,66.37,72.08
31.96,"T",68.04,49.04,"T",50.96,1.66,5.02,43.56,12.55,0.07,2.95,0.15,0.04,33.59,0.26,0.15,38.92,4.08,7.89,37.81,7.98,3.32,2729,3089,6568,6496,41.25,47.55
74.06,"D",25.94,74.46,"D",25.55,0.94,5.4,65.17,11.94,0.21,3.95,0.08,0.04,12.03,0.05,0.21,5.89,3.94,21.73,62.88,4.29,1.18,5532,6016,8261,8276,66.57,72.69
45.38,"T",54.62,49.92,"T",50.08,1.85,9.24,41.36,17.61,0.16,1.85,0.0,0.33,27.39,0.16,0.05,25.79,9.36,9.36,43.24,12.26,,1848,1957,3266,3244,56.34,60.33
82.19,"D",17.81,82.44,"D",17.56,0.69,6.67,73.34,7.74,0.23,2.06,0.08,0.15,8.9,0.0,0.13,7.54,5.12,6.34,75.45,3.81,1.15,4776,4994,6942,6864,68.45,72.76
75.25,"D",24.75,78.78,"D",21.22,1.34,5.21,69.55,9.5,0.22,4.04,0.06,0.03,9.76,0.1,0.19,7.76,5.65,11.83,68.61,6.15,,3152,3416,4784,4780,65.76,71.46
75.64,"D",24.36,81.79,"D",18.21,0.48,5.15,74.61,6.98,0.16,3.27,0.11,0.21,8.91,0.0,0.11,5.21,3.45,14.57,74.06,2.14,0.57,1872,2043,3415,3462,54.55,59.01
77.39,"D",22.61,81.08,"D",18.92,1.53,5.99,73.32,8.18,0.07,3.13,0.13,0.0,7.52,0.07,0.07,3.34,4.36,12.06,74.0,5.45,0.51,1510,1670,2788,2748,53.91,60.77
67.38,"D",32.62,80.62,"D",19.38,0.87,5.24,70.82,7.15,0.04,2.78,0.04,0.11,12.93,0.04,0.0,8.87,4.6,10.82,67.54,7.05,1.12,2778,3060,4862,4859,56.95,62.98
78.29,"D",21.71,77.94,"D",22.06,1.07,5.1,71.02,6.63,0.19,2.36,0.05,0.28,13.21,0.0,0.09,9.08,5.21,7.68,71.9,5.0,0.43,2166,2471,3268,3292,66.0,75.06
53.87,"D",46.13,59.65,"D",40.35,1.48,7.61,50.79,12.97,0.22,5.22,0.22,0.27,20.88,0.27,0.08,11.08,7.11,25.58,46.6,9.63,,3729,3908,6157,6128,60.37,63.77
70.46,"D",29.54,75.89,"D",24.11,0.73,7.46,65.29,10.95,0.34,5.26,0.04,0.13,9.62,0.04,0.13,4.93,7.56,18.35,64.76,3.38,0.42,2329,2584,4551,4537,50.96,56.95
50.76,"D",49.24,59.46,"D",40.54,1.62,7.59,49.94,15.76,0.21,2.99,0.08,0.12,21.11,0.29,0.29,25.78,7.72,10.05,48.54,7.91,,2417,2578,3862,3827,62.43,67.36
75.34,"D",24.66,77.87,"D",22.13,1.21,5.4,70.87,8.24,0.09,2.56,0.14,0.05,11.21,0.0,0.23,7.78,5.17,10.59,71.19,4.65,0.42,2168,2463,3610,3642,59.53,67.63
64.69,"D",35.31,65.01,"D",34.99,1.44,7.07,57.25,12.03,0.24,2.08,0.08,0.28,19.46,0.0,0.08,15.2,5.87,8.37,58.01,9.78,2.78,2518,2692,4203,4174,59.55,64.49
75.71,"D",24.29,78.69,"D",21.31,0.5,5.8,68.29,4.03,0.14,14.37,0.07,0.0,6.72,0.07,0.0,2.07,4.21,22.75,69.05,1.92,,1418,1469,2730,2697,51.76,54.47
75.45,"D",24.55,78.15,"D",21.85,1.16,9.23,67.85,8.05,0.08,2.22,0.04,0.12,10.95,0.04,0.26,8.95,6.54,8.18,71.26,3.89,,5010,5223,8045,7989,62.1,65.38
50.68,"D",49.32,54.48,"D",45.52,1.89,5.3,48.64,11.3,0.14,2.79,0.14,0.14,29.34,0.12,0.19,25.3,3.99,15.88,44.7,9.73,,8439,8942,14943,14830,56.31,60.3
65.67,"D",34.33,76.63,"D",23.37,1.06,5.67,67.29,9.53,0.13,3.2,0.23,0.07,12.4,0.07,0.36,8.54,3.53,16.59,64.41,5.01,1.92,3043,3213,4966,5006,61.08,64.18
58.19,"D",41.81,71.95,"D",28.05,1.45,5.27,63.42,11.95,0.17,2.74,0.0,0.12,14.6,0.17,0.12,11.43,4.59,10.16,61.96,11.13,,2420,2624,4087,4039,58.99,64.97
70.06,"D",29.94,75.38,"D",24.62,1.18,7.33,66.92,9.15,0.05,3.64,0.43,0.0,11.13,0.0,0.16,11.92,3.68,11.98,67.27,4.03,0.64,1879,2051,3378,3349,55.3,61.24
46.35,"T",53.65,43.39,"T",56.61,2.22,6.22,35.55,16.38,0.23,2.47,0.09,0.14,36.29,0.16,0.25,27.56,6.51,14.22,35.66,14.41,1.64,25872,26481,36124,35444,71.39,74.71
40.79,"T",59.21,46.7,"T",53.3,2.17,6.72,38.17,20.62,0.14,2.33,0.07,0.1,29.38,0.1,0.19,32.52,6.87,8.21,36.8,15.61,,9634,9947,15156,15035,63.42,66.16
84.63,"D",15.37,85.09,"D",14.91,0.54,9.86,73.95,6.11,0.22,1.7,0.12,0.07,7.32,0.02,0.07,10.15,7.69,3.58,76.5,1.86,,4079,4226,6384,6366,63.55,66.38
57.86,"D",42.14,62.87,"D",37.13,1.83,6.46,55.47,10.61,0.12,2.19,0.0,0.16,22.8,0.12,0.24,12.93,5.27,6.94,50.81,19.28,4.77,2473,2572,4302,4277,57.21,60.14
83.78,"D",16.22,86.98,"D",13.02,0.83,6.91,76.4,5.94,0.07,3.28,0.02,0.09,6.2,0.02,0.24,3.3,5.43,11.85,77.29,2.13,,4253,4425,6870,6850,61.73,64.6
37.63,"T",62.37,48.52,"T",51.48,1.9,5.7,41.56,16.06,0.21,2.57,0.05,0.0,31.66,0.15,0.15,28.37,5.27,9.8,38.67,13.7,4.19,1955,2135,3851,3816,50.61,55.95
25.8,"T",74.2,34.19,"T",65.81,2.17,4.03,30.25,25.07,0.18,1.24,0.09,0.04,36.67,0.0,0.27,38.04,5.03,6.74,26.73,21.33,0.78,2264,2562,4317,4456,52.3,57.5
78.98,"D",21.02,79.4,"D",20.6,0.72,6.41,73.02,6.52,0.11,2.61,0.08,0.13,10.2,0.04,0.17,6.77,4.57,7.36,77.32,3.98,,4765,5369,7222,7667,65.84,70.03
50.34,"D",49.66,49.94,"T",50.06,2.34,5.47,41.77,13.55,0.13,3.65,0.11,0.12,32.6,0.04,0.22,19.5,6.02,20.16,39.8,12.74,0.97,13246,13849,19753,19548,66.88,70.85
72.76,"D",27.24,79.2,"D",20.8,0.83,4.5,72.23,6.1,0.24,3.55,0.24,0.06,12.08,0.06,0.12,5.83,3.59,12.42,71.51,5.76,0.9,1693,1933,2879,2878,58.67,67.16
44.38,"T",55.62,46.65,"T",53.35,2.54,7.62,38.04,16.47,0.07,2.65,0.11,0.12,31.99,0.14,0.25,24.16,6.78,13.85,39.89,13.98,1.34,5648,5910,9590,9507,58.74,62.16
43.28,"T",56.72,56.66,"D",43.34,1.95,4.37,51.21,12.78,0.33,3.61,0.1,0.1,25.04,0.05,0.48,17.74,4.64,15.2,49.2,10.07,3.15,2124,2462,4267,4247,49.33,57.97
47.15,"T",52.85,61.36,"D",38.64,1.59,7.31,53.51,12.7,0.0,3.4,0.11,0.07,20.95,0.18,0.18,22.8,6.26,10.78,50.37,8.56,1.23,2772,3038,5016,4979,55.1,61.02
86.16,"D",13.84,86.63,"D",13.37,0.59,9.21,76.84,5.0,0.12,1.57,0.1,0.06,6.33,0.06,0.12,5.68,8.83,4.7,78.08,2.71,,13721,14151,18844,18755,72.65,75.45
39.34,"T",60.66,42.57,"T",57.43,2.29,4.39,36.3,18.92,0.14,2.37,0.12,0.07,35.18,0.11,0.13,31.78,5.96,15.05,34.63,12.58,,10353,10999,18225,18241,56.53,60.3
43.2,"T",56.8,45.96,"T",54.04,2.42,6.44,39.44,14.54,0.11,1.65,0.12,0.13,34.77,0.14,0.22,28.06,6.91,5.72,40.43,18.88,,15351,15850,23869,23492,64.1,67.47
43.28,"T",56.72,46.7,"T",53.3,2.39,4.53,40.69,17.87,0.12,2.14,0.16,0.16,31.58,0.14,0.21,20.55,5.33,9.19,38.5,24.21,2.21,4318,4450,7625,7519,56.43,59.18
66.61,"D",33.39,75.82,"D",24.18,0.95,6.02,63.43,10.22,0.15,3.54,0.07,0.15,15.18,0.04,0.26,12.5,4.99,9.01,65.14,8.0,,2753,2887,4507,4468,60.79,64.62
41.68,"T",58.32,52.79,"D",47.21,2.41,5.65,45.33,14.38,0.17,3.19,0.06,0.17,28.48,0.06,0.11,22.42,7.04,13.45,44.4,12.7,,1792,1955,3776,3731,47.33,52.4
38.16,"T",61.84,45.09,"T",54.91,1.61,5.29,37.96,25.6,0.13,2.68,0.1,0.13,26.15,0.1,0.26,20.56,5.8,27.92,35.89,9.84,,3117,3349,5649,5648,54.84,59.3
73.46,"D",26.54,77.14,"D",22.86,1.41,5.29,67.17,7.26,0.51,6.42,0.23,0.28,11.09,0.11,0.23,2.85,4.48,25.94,62.67,3.15,0.55,1787,1990,3076,3054,57.74,65.16
79.18,"D",20.82,80.54,"D",19.46,0.97,8.45,69.29,7.36,0.26,2.06,0.04,0.06,11.28,0.06,0.17,9.93,6.23,5.77,73.34,4.72,,4678,4928,7275,7269,64.1,67.79
24.69,"T",75.31,40.33,"T",59.67,2.56,5.98,31.48,33.62,0.23,3.14,0.29,0.12,22.24,0.0,0.35,28.67,4.52,19.49,27.28,18.3,0.7,1728,1830,3312,3339,51.99,54.81
58.61,"D",41.39,53.94,"D",46.06,1.86,7.29,44.44,15.37,0.2,2.25,0.17,0.18,27.73,0.18,0.32,25.76,8.93,7.49,45.84,10.04,1.6,8859,8982,12288,12070,71.85,74.42
62.11,"D",37.89,70.09,"D",29.91,0.98,9.1,60.23,10.98,0.3,4.96,0.45,0.08,12.56,0.15,0.23,9.51,5.62,24.4,55.91,3.97,0.58,1338,1391,2439,2458,54.53,56.59
62.55,"D",37.45,67.25,"D",32.75,1.78,7.36,57.18,11.72,0.06,6.69,0.31,0.18,14.42,0.12,0.18,8.7,5.5,22.63,55.5,6.82,0.84,1633,1707,2968,2939,54.92,58.08
81.95,"D",18.05,83.58,"D",16.42,0.86,8.74,73.25,5.46,0.32,2.78,0.11,0.11,8.17,0.07,0.14,5.1,7.62,6.28,75.71,4.56,,2817,2985,4970,4961,56.42,60.17
49.46,"T",50.54,51.72,"D",48.28,2.2,8.37,42.22,21.81,0.16,2.11,0.11,0.24,22.34,0.16,0.27,22.13,10.06,9.36,43.95,14.5,,5470,5512,8110,8059,67.32,68.4
46.94,"T",53.06,51.44,"D",48.56,2.23,5.84,43.96,15.65,0.17,2.26,0.14,0.37,29.06,0.11,0.2,21.38,6.45,11.53,46.47,11.53,2.63,3510,3641,5647,5598,61.91,65.04
65.55,"D",34.45,74.46,"D",25.54,0.97,6.34,66.51,9.1,0.29,3.53,0.15,0.0,13.02,0.05,0.05,7.07,4.8,12.2,65.41,9.55,0.97,2072,2287,4205,4182,49.13,54.69
65.45,"D",34.55,71.36,"D",28.64,1.53,7.99,62.7,8.82,0.09,4.74,0.14,0.09,13.66,0.0,0.23,7.63,5.72,12.22,65.87,8.56,,2163,2392,3885,3890,55.42,61.49
70.95,"D",29.05,77.33,"D",22.67,0.83,5.83,67.63,9.78,0.16,3.62,0.12,0.09,11.74,0.05,0.16,5.49,4.02,12.03,68.24,9.56,0.66,4350,4618,8128,8115,53.36,56.91
80.6,"D",19.4,85.74,"D",14.26,1.07,5.49,77.96,4.71,0.07,3.99,0.14,0.14,6.06,0.0,0.36,2.34,5.14,9.52,80.66,2.04,0.3,1404,1501,2231,2237,62.84,67.1
84.88,"D",15.12,85.92,"D",14.08,0.74,9.06,75.13,6.7,0.1,2.06,0.05,0.05,5.94,0.08,0.1,4.27,7.32,4.69,80.48,2.77,,3952,4035,5531,5500,71.23,73.36
67.64,"D",32.36,73.75,"D",26.25,1.13,5.42,65.24,8.99,0.22,4.07,0.06,0.17,14.38,0.03,0.3,14.49,6.33,8.7,63.94,5.58,0.81,3644,3951,6197,6167,58.67,64.07
49.01,"T",50.99,52.46,"D",47.54,1.91,8.23,46.19,12.91,0.18,3.6,0.09,0.13,26.38,0.13,0.27,23.06,6.48,14.01,46.64,8.26,1.56,5579,6475,10032,10468,55.44,61.86
43.14,"T",56.86,50.02,"D",49.98,2.24,5.91,42.61,17.75,0.1,1.7,0.13,0.17,29.06,0.13,0.2,25.69,8.2,8.94,42.3,14.87,,3006,3097,5379,5321,55.72,58.2
57.14,"D",42.86,63.07,"D",36.93,1.84,7.86,53.02,14.2,0.16,2.56,0.03,0.1,20.06,0.1,0.06,18.58,6.64,11.64,51.12,9.63,2.39,3105,3352,5558,5569,55.61,60.19
74.13,"D",25.87,74.54,"D",25.46,0.89,6.06,65.86,10.35,0.2,4.91,0.0,0.3,11.14,0.03,0.26,4.23,4.65,23.14,63.05,3.33,1.6,3044,3389,4916,4935,61.74,68.67
68.27,"D",31.73,71.18,"D",28.82,1.5,6.68,61.09,9.35,0.14,4.58,0.09,0.03,16.28,0.12,0.14,10.35,7.36,11.61,61.79,7.53,0.69,6934,7345,12197,11883,56.72,61.81
67.68,"D",32.32,77.78,"D",22.22,1.24,5.37,70.8,6.94,0.1,5.8,0.1,0.0,9.42,0.05,0.19,5.71,4.2,15.61,68.3,5.06,0.43,2111,2444,3595,3662,58.5,66.74
56.76,"D",43.24,59.2,"D",40.8,2.34,5.79,55.03,8.96,0.05,3.26,0.14,0.0,24.21,0.18,0.05,14.23,5.61,15.71,55.05,9.41,,2182,2510,3293,3214,66.11,78.1
47.18,"T",52.82,51.39,"D",48.61,2.03,6.72,43.82,15.14,0.2,3.38,0.05,0.16,28.26,0.05,0.18,25.58,6.97,13.68,41.37,10.2,2.21,5582,5904,9404,9352,59.15,63.13
38.82,"T",61.18,47.84,"T",52.16,2.77,4.05,43.18,15.65,0.2,3.24,0.07,0.13,30.43,0.2,0.07,20.4,4.38,25.18,39.84,10.2,,1485,1737,2845,2925,52.09,59.38
70.91,"D",29.09,75.64,"D",24.36,1.31,5.53,70.15,6.57,0.0,4.08,0.07,0.0,12.02,0.07,0.21,8.03,4.77,8.27,71.38,7.55,,1453,1712,2207,2256,65.56,75.89
68.47,"D",31.53,74.37,"D",25.63,0.76,7.11,67.32,9.35,0.11,1.64,0.11,0.06,13.34,0.1,0.1,12.77,4.95,10.1,68.91,3.28,,6223,6836,9309,9577,66.66,71.38
75.36,"D",24.64,82.75,"D",17.25,0.8,4.01,75.91,6.06,0.06,3.64,0.03,0.21,9.06,0.03,0.18,3.28,4.12,16.29,71.14,3.84,0.49,3281,3600,5475,5534,59.67,65.05
70.58,"D",29.42,69.99,"D",30.01,1.16,7.39,61.32,10.42,0.18,3.01,0.08,0.1,16.01,0.08,0.24,15.0,5.91,9.74,61.84,6.21,1.28,4934,5162,7260,7250,67.7,71.2
82.2,"D",17.8,83.02,"D",16.98,0.94,9.15,71.05,7.32,0.05,2.63,0.1,0.07,8.45,0.02,0.22,6.08,6.86,7.23,74.91,4.51,,4147,4251,6070,6039,68.22,70.39
81.54,"D",18.46,84.94,"D",15.06,0.46,8.19,75.35,4.84,0.06,4.9,0.03,0.03,6.03,0.0,0.12,3.2,5.35,16.02,73.48,1.95,,3474,3745,4993,4976,69.46,75.26
72.64,"D",27.36,75.41,"D",24.59,0.98,8.81,66.42,7.99,0.26,2.39,0.09,0.12,12.77,0.05,0.12,14.3,5.76,7.05,67.65,5.24,,5754,6242,8739,8985,65.71,69.47
48.95,"T",51.05,45.72,"T",54.28,2.05,6.68,38.01,12.48,0.22,1.85,0.17,0.23,37.69,0.33,0.3,32.14,7.19,7.86,38.28,13.22,1.32,6464,6465,8409,8386,76.58,77.09
71.18,"D",28.82,74.87,"D",25.13,1.65,7.97,65.41,7.68,0.19,3.23,0.21,0.11,13.2,0.05,0.29,9.05,5.25,9.88,67.75,7.13,0.94,3761,4011,6731,6727,55.71,59.63
67.91,"D",32.09,71.55,"D",28.45,1.16,4.31,65.49,8.96,0.0,3.85,0.09,0.03,15.91,0.03,0.15,9.31,4.1,10.83,65.62,9.31,0.83,3276,3694,6047,6051,54.06,61.05
29.56,"T",70.44,42.46,"T",57.54,1.13,6.01,35.12,24.13,0.14,1.74,0.09,0.14,31.17,0.0,0.33,19.56,4.85,6.3,21.83,8.31,,2139,2249,4289,4269,49.66,52.68
85.31,"D",14.69,87.43,"D",12.57,0.55,10.76,76.06,5.37,0.11,1.06,0.09,0.07,5.77,0.03,0.13,5.26,8.4,3.39,81.05,1.89,,9239,9607,14286,14351,64.45,66.94
51.92,"D",48.08,55.47,"D",44.53,1.97,7.83,46.54,12.38,0.21,2.61,0.09,0.32,27.7,0.12,0.26,24.2,7.2,9.03,47.61,10.55,1.43,14328,14718,20573,20239,69.47,72.72
76.87,"D",23.13,79.98,"D",20.02,0.95,5.34,71.72,6.99,0.16,3.99,0.08,0.16,10.52,0.04,0.04,4.12,4.3,16.78,70.34,3.4,0.85,2443,2663,3764,3786,64.64,70.34
51.05,"D",48.95,61.6,"D",38.4,1.39,8.79,51.55,14.11,0.13,4.01,0.08,0.24,19.32,0.08,0.29,12.38,7.71,23.74,48.34,7.0,0.84,3758,3961,6987,6927,53.56,57.18
77.88,"D",22.12,77.05,"D",22.95,1.65,9.82,65.58,8.64,0.16,3.84,0.32,0.32,9.23,0.05,0.37,6.26,8.41,12.18,66.36,5.74,1.04,1881,2061,3048,3041,61.48,67.77
62.79,"D",37.21,66.0,"D",34.0,1.15,5.18,58.96,11.52,0.13,2.31,0.05,0.15,20.39,0.03,0.13,12.89,5.37,12.06,61.41,6.51,1.76,3916,4303,6282,6500,62.07,66.2
53.32,"D",46.68,51.91,"D",48.09,1.97,5.58,43.87,15.01,0.29,1.6,0.1,0.2,31.16,0.04,0.17,26.47,6.68,8.74,44.3,11.6,2.22,6919,7105,9582,9534,71.87,74.52
70.67,"D",29.33,74.84,"D",25.16,1.19,6.0,65.52,12.22,0.3,2.96,0.0,0.04,11.52,0.04,0.22,11.27,5.21,11.82,66.33,4.15,0.76,2707,2854,4007,4008,67.38,71.21
50.03,"D",49.97,51.18,"D",48.82,2.15,6.65,42.81,14.95,0.26,2.86,0.17,0.05,29.76,0.15,0.18,31.4,6.05,9.99,40.4,10.86,1.3,6061,6270,10396,10382,58.15,60.39
38.06,"T",61.94,40.75,"T",59.25,2.35,5.29,33.06,17.11,0.24,2.35,0.14,0.14,39.07,0.1,0.14,30.54,6.08,7.2,34.65,19.99,1.55,2093,2287,3409,3431,61.04,66.66
65.75,"D",34.25,65.09,"D",34.91,1.09,7.24,56.67,10.89,0.26,2.76,0.31,0.1,20.47,0.0,0.21,18.32,6.09,7.88,59.11,7.82,0.78,1930,2120,3066,3120,62.62,67.95
64.68,"D",35.32,73.12,"D",26.88,1.46,6.35,64.19,7.51,0.15,4.08,0.15,0.0,16.05,0.07,0.0,9.01,7.13,11.63,65.19,5.98,,1376,1581,2539,2522,54.0,62.69
40.88,"T",59.12,54.94,"D",45.06,1.78,5.09,47.68,14.38,0.15,4.21,0.15,0.1,26.01,0.18,0.28,26.3,4.54,12.36,44.61,10.63,1.56,4006,4303,6952,6909,57.41,62.28
60.85,"D",39.15,66.26,"D",33.74,1.73,7.66,58.12,9.67,0.18,2.83,0.0,0.27,19.16,0.0,0.36,15.77,6.47,9.81,57.53,9.61,,1102,1227,2106,2118,52.04,57.93
63.24,"D",36.76,68.11,"D",31.9,1.38,7.35,59.96,12.78,0.1,2.77,0.05,0.3,14.85,0.1,0.37,11.39,6.23,13.37,61.33,6.83,0.84,4979,5401,8199,8386,60.5,64.4
77.22,"D",22.78,74.32,"D",25.68,1.59,7.53,64.77,8.29,0.18,2.31,0.55,0.08,14.47,0.04,0.18,11.27,6.49,5.93,68.93,6.61,0.77,8326,8655,12737,12674,65.16,68.29
62.4,"D",37.6,65.58,"D",34.42,0.76,7.66,56.54,13.34,0.38,4.04,0.25,0.13,16.58,0.17,0.17,21.82,5.35,11.33,56.06,4.18,1.25,2388,2577,4123,4208,57.65,61.24
55.71,"D",44.29,67.95,"D",32.05,1.39,5.6,59.18,12.13,0.13,4.58,0.05,0.08,16.43,0.21,0.23,8.47,5.47,20.48,57.3,8.28,,3903,4037,6282,6240,61.92,64.7
78.24,"D",21.76,83.8,"D",16.2,0.89,7.2,74.19,4.33,0.25,4.97,0.19,0.19,7.71,0.0,0.06,3.75,4.24,15.14,72.64,3.4,0.83,1571,1667,2821,2804,55.62,59.45
47.27,"T",52.73,65.02,"D",34.98,1.69,6.97,56.26,11.28,0.11,2.93,0.14,0.1,20.24,0.11,0.19,14.0,6.88,11.63,57.68,9.5,,24449,25498,39622,39241,61.56,64.98
73.9,"D",26.1,78.48,"D",21.52,1.0,8.97,67.72,7.64,0.06,3.06,0.03,0.03,11.32,0.05,0.11,12.02,6.25,9.28,69.1,3.34,,6415,6603,10349,10232,61.82,64.53
50.38,"D",49.62,51.43,"D",48.57,1.59,7.26,43.55,17.59,0.18,1.71,0.08,0.17,27.59,0.11,0.16,28.08,8.25,6.5,45.6,11.57,,13094,13202,18480,18260,70.69,72.3
87.76,"D",12.24,87.38,"D",12.62,0.57,8.37,78.47,5.45,0.14,0.92,0.24,0.14,5.36,0.05,0.28,4.01,6.42,4.64,82.77,2.17,,4234,4597,6091,6049,69.25,76.0
66.29,"D",33.71,69.25,"D",30.75,1.74,8.03,57.39,10.64,0.49,7.58,0.11,0.15,13.67,0.04,0.15,6.07,9.94,22.76,50.73,9.35,0.67,2651,2803,4307,4264,61.3,65.74
39.82,"T",60.18,42.65,"T",57.35,1.74,6.98,35.5,23.08,0.07,1.6,0.0,0.1,30.67,0.24,0.03,23.0,14.07,15.36,34.91,12.67,,2949,3081,5421,5354,54.2,57.55
70.11,"D",29.89,75.35,"D",24.65,0.47,6.65,65.74,12.42,0.24,2.69,0.08,0.16,11.16,0.0,0.4,8.31,4.95,19.3,65.02,1.93,0.42,1267,1229,2251,2122,56.15,57.92
78.74,"D",21.26,78.87,"D",21.13,1.17,9.21,68.39,7.03,0.17,2.08,0.11,0.06,11.52,0.05,0.21,11.75,8.49,4.54,70.88,4.34,,8157,9025,13295,13238,61.17,68.17
43.4,"T",56.6,29.11,"T",70.89,2.08,4.5,25.9,15.8,0.1,1.48,0.03,0.05,49.77,0.12,0.17,37.11,6.51,5.31,44.82,6.26,,5837,9370,6932,10770,84.0,87.0
69.43,"D",30.57,64.51,"D",35.49,1.56,8.45,54.27,11.11,0.26,2.57,0.21,0.1,21.18,0.05,0.23,19.99,6.95,8.21,57.45,6.07,1.33,7720,7886,10959,10983,70.17,71.8
39.35,"T",60.65,44.73,"T",55.27,1.74,4.65,39.84,18.81,0.09,2.0,0.09,0.13,32.23,0.28,0.13,27.73,7.1,9.89,40.65,14.63,,4609,4963,8862,8827,51.88,56.23
77.86,"D",22.14,79.26,"D",20.74,1.08,10.91,67.17,8.75,0.35,2.35,0.04,0.04,8.94,0.08,0.31,8.36,8.23,7.58,70.1,4.35,0.86,2602,2714,4138,4092,62.71,66.32
73.44,"D",26.56,77.97,"D",22.03,0.84,7.39,67.48,8.36,0.16,2.54,0.03,0.3,12.73,0.03,0.16,10.03,6.62,9.12,67.71,5.0,0.67,3722,3981,5542,5527,66.91,72.03
78.76,"D",21.24,76.47,"D",23.53,1.15,6.1,69.52,6.26,0.08,2.97,0.08,0.08,13.51,0.16,0.08,12.4,5.0,8.85,69.81,3.94,,1221,1347,1924,1924,63.1,70.01
75.6,"D",24.4,80.87,"D",19.13,0.53,7.22,70.76,9.91,0.24,3.03,0.14,0.24,7.89,0.0,0.05,9.37,4.79,9.21,73.43,2.5,0.32,2090,2264,4068,4055,51.11,55.83
72.64,"D",27.36,75.96,"D",24.04,0.87,6.17,67.3,7.99,0.22,4.17,0.04,0.13,12.9,0.09,0.13,7.72,5.77,12.69,69.16,4.66,,2306,2496,3748,3767,61.45,66.26
