"D2015","D2015 - Nominal","K2015 ","D2020","D2020 - Nominal","T2020","BIEDRON","BOSAK","DUDA","HOŁOWNIA","JAKUBIAK","KOS-KAM","PIOTROWSKI","TANAJNO","TRZASK","WITK","ŻÓŁTEK","KO","KONF","PSL","PIS","SLD","NP","NoLegVot - T1 2020","NoLegVot - T2 2020","NoVoters - T1 2020","NoVoters - T2 2020","VotFreq T1 2020","VotFreq T2 2020"
60.29,"D",39.71,65.62,"D",34.38,1.53,6.88,56.17,13.5,0.23,3.49,0.08,0.17,17.57,0.13,0.24,17.6,6.69,11.98,55.8,6.68,1.87,8418,9024,13426,13337,62.54,67.66
76.78,"D",23.22,77.79,"D",22.21,0.77,7.86,67.78,8.68,0.1,2.21,0.15,0.08,11.93,0.12,0.32,16.37,5.98,5.26,69.26,2.69,,5980,6109,9650,9560,61.85,63.9
39.5,"T",60.5,59.05,"D",40.95,1.77,4.78,52.44,11.18,0.1,4.58,0.15,0.15,24.62,0.1,0.15,15.89,4.63,18.0,49.77,11.09,,2036,2337,4793,4727,42.37,49.44
35.64,"T",64.36,42.65,"T",57.35,1.91,5.74,35.3,20.97,0.14,2.59,0.09,0.14,32.86,0.11,0.17,29.81,7.54,11.35,34.68,14.56,2.05,6621,6905,11134,11000,59.31,62.77
39.93,"T",60.07,40.97,"T",59.03,2.68,7.55,34.72,14.73,0.19,2.23,0.12,0.19,37.35,0.08,0.15,27.61,7.04,13.78,35.42,15.31,,8475,9039,14384,14449,58.62,62.56
48.99,"T",51.01,50.19,"D",49.81,2.13,4.09,43.89,15.09,0.42,2.75,0.08,0.33,31.05,0.04,0.13,26.28,4.1,11.83,44.09,11.04,2.67,2411,2604,4237,4215,56.62,61.78
66.52,"D",33.48,76.69,"D",23.31,0.62,5.43,67.8,9.95,0.19,3.99,0.19,0.05,11.63,0.05,0.1,6.93,4.27,18.61,66.29,2.76,0.54,2084,2312,4363,4356,47.7,53.08
42.99,"T",57.01,45.16,"T",54.84,2.16,8.01,38.09,14.04,0.1,1.79,0.08,0.15,35.18,0.16,0.22,39.35,6.82,5.29,38.37,10.18,,8631,9081,14695,14564,58.58,62.35
56.78,"D",43.22,70.46,"D",29.54,0.64,5.77,59.87,13.29,0.1,5.18,0.24,0.2,14.42,0.05,0.24,6.93,3.85,29.2,54.39,4.98,0.65,2056,2214,3626,3606,56.43,61.4
48.24,"T",51.76,58.12,"D",41.88,1.45,7.26,49.48,14.22,0.14,3.58,0.02,0.17,23.34,0.12,0.21,21.85,6.09,12.36,50.47,7.15,2.08,4232,4594,8392,8365,50.19,54.92
53.48,"D",46.52,60.47,"D",39.53,1.65,5.63,53.24,13.22,0.37,4.16,0.12,0.06,21.3,0.06,0.18,12.61,6.3,13.7,56.09,9.71,1.59,1644,1948,2896,3013,56.42,64.65
48.62,"T",51.38,57.77,"D",42.23,2.01,5.05,51.05,12.59,0.13,2.56,0.06,0.16,26.01,0.22,0.16,22.03,8.77,10.7,49.66,8.84,,3159,3467,6607,6549,47.37,52.94
86.34,"D",13.66,87.65,"D",12.35,0.61,7.47,79.59,3.01,0.17,4.57,0.17,0.06,4.02,0.0,0.33,2.74,5.54,9.46,78.72,3.11,0.44,1800,2000,2647,2645,67.74,75.61
53.84,"D",46.16,64.08,"D",35.92,2.34,6.46,54.37,13.37,0.05,4.92,0.15,0.1,17.99,0.15,0.1,10.54,5.89,15.35,53.82,12.97,1.42,2025,2127,3405,3391,59.09,62.72
64.74,"D",35.26,75.18,"D",24.82,1.33,6.59,64.04,8.44,0.22,4.52,0.15,0.44,13.96,0.0,0.3,8.24,4.76,14.41,64.3,7.52,0.76,2712,2857,4483,4453,60.23,64.16
65.43,"D",34.57,72.47,"D",27.53,1.09,4.78,65.41,7.81,0.18,5.81,0.12,0.12,14.48,0.12,0.06,7.7,3.72,20.57,60.78,6.1,0.33,1655,1831,3302,3304,50.0,55.42
62.77,"D",37.23,67.56,"D",32.44,1.01,7.66,54.96,10.55,0.3,9.39,0.0,0.21,15.24,0.3,0.39,6.69,7.1,29.29,50.11,5.79,0.48,3382,3613,5192,5179,64.83,69.76
78.62,"D",21.38,72.49,"D",27.51,1.57,7.96,62.61,10.96,0.34,2.13,0.05,0.14,13.97,0.14,0.12,9.1,9.75,5.57,66.38,9.19,,6447,6691,9185,9145,69.92,73.17
68.87,"D",31.13,71.8,"D",28.2,0.82,8.42,62.09,9.17,0.0,4.62,0.2,0.14,14.33,0.07,0.14,8.56,5.51,18.53,60.34,5.73,1.34,1480,1578,2646,2626,55.63,60.09
74.3,"D",25.7,73.19,"D",26.81,1.18,9.14,61.89,9.17,0.17,4.33,0.2,0.15,13.41,0.05,0.32,10.33,6.82,12.65,62.83,6.16,1.2,6660,6856,10496,10490,63.16,65.36
73.78,"D",26.22,78.12,"D",21.88,1.71,8.04,66.78,10.88,0.15,2.65,0.05,0.2,9.41,0.0,0.15,12.17,6.31,7.85,69.85,3.81,,2045,2157,3450,3428,59.16,62.92
50.74,"D",49.26,50.83,"D",49.17,1.52,7.99,41.56,15.86,0.11,2.91,0.2,0.15,29.52,0.02,0.17,26.26,7.57,11.66,44.14,10.36,,6473,6516,9212,9104,70.14,71.57
74.55,"D",25.45,74.86,"D",25.14,1.48,10.17,63.33,8.03,0.05,2.8,0.05,0.11,13.25,0.11,0.6,10.63,8.1,10.21,64.05,7.01,,1832,1965,2727,2706,66.7,72.62
41.34,"T",58.66,41.48,"T",58.52,2.51,4.79,38.95,17.19,0.02,3.52,0.1,0.05,32.72,0.05,0.1,20.55,5.93,19.81,40.27,13.44,,4045,5996,6996,8621,57.62,69.55
44.33,"T",55.67,62.04,"D",37.96,1.39,6.44,54.2,16.39,0.17,3.33,0.11,0.16,17.58,0.1,0.15,12.39,5.52,11.31,49.0,6.35,0.94,6553,6930,12870,12787,50.78,54.2
57.71,"D",42.29,68.36,"D",31.64,0.89,6.36,60.41,9.59,0.12,2.08,0.0,0.12,20.36,0.0,0.07,19.77,5.04,12.39,55.74,6.59,,4203,4624,8912,8896,46.9,51.98
59.87,"D",40.13,65.84,"D",34.16,1.59,8.52,53.43,14.79,0.26,3.61,0.23,0.12,16.98,0.15,0.32,23.73,6.53,9.16,54.89,4.13,1.56,7284,7359,11354,11151,63.9,65.99
67.28,"D",32.72,72.52,"D",27.48,1.28,7.59,61.56,9.8,0.26,5.61,0.15,0.07,13.48,0.04,0.17,7.36,6.48,20.34,59.19,6.64,,5406,5932,9066,9080,59.42,65.33
